City_ID,City,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Kattivakkam,2022-08-10 04:22:04,13.2167,80.3167,91.49,64,76,21.43,broken clouds
239,Isangel,2022-08-10 04:22:05,-19.55,169.2667,72.45,71,92,17.38,overcast clouds
240,Lake Havasu City,2022-08-10 04:20:58,34.4839,-114.3224,95.0,38,0,4.61,clear sky
241,Yazoo City,2022-08-10 04:22:05,32.8551,-90.4056,75.7,98,91,5.26,overcast clouds
242,Berlevag,2022-08-10 04:17:17,70.8578,29.0864,53.6,82,100,5.75,overcast clouds
243,Camopi,2022-08-10 04:22:06,3.1655,-52.3158,71.04,99,47,2.3,scattered clouds
244,Offa,2022-08-10 04:22:06,8.15,4.7167,72.39,94,100,6.49,overcast clouds
245,Vila Velha,2022-08-10 04:22:06,-20.3297,-40.2925,71.55,88,40,6.91,scattered clouds
246,Dzilam Gonzalez,2022-08-10 04:22:07,21.2833,-88.9333,73.63,97,100,2.01,overcast clouds
247,Hvide Sande,2022-08-10 04:22:07,56.0045,8.1294,56.08,83,99,5.03,overcast clouds
248,Vardo,2022-08-10 04:22:08,70.3705,31.1107,53.58,87,100,8.05,overcast clouds
249,Chuy,2022-08-10 04:22:08,-33.6971,-53.4616,45.7,79,0,6.67,clear sky
250,Avera,2022-08-10 04:22:08,33.194,-82.5271,76.55,73,99,2.15,overcast clouds
251,Daigo,2022-08-10 04:22:09,36.7667,140.35,92.46,53,98,6.11,overcast clouds
252,Asyut,2022-08-10 04:22:10,27.181,31.1837,83.59,38,0,9.95,clear sky
253,Nanortalik,2022-08-10 04:22:10,60.1432,-45.2371,41.85,91,89,12.24,overcast clouds
254,Kloulklubed,2022-08-10 04:22:11,7.0419,134.2556,84.7,69,79,11.34,broken clouds
255,Erenhot,2022-08-10 04:22:11,43.6475,111.9767,88.99,23,2,11.34,clear sky
256,Mount Gambier,2022-08-10 04:22:11,-37.8333,140.7667,53.1,66,100,12.82,overcast clouds
257,Solenzo,2022-08-10 04:22:12,12.1833,-4.0833,73.38,93,100,4.68,overcast clouds
258,Henties Bay,2022-08-10 04:22:12,-22.116,14.2845,52.32,94,7,4.99,clear sky
259,Tiksi,2022-08-10 04:22:13,71.6872,128.8694,59.86,54,51,14.03,broken clouds
260,Jalu,2022-08-10 04:22:13,29.0331,21.5482,78.24,60,0,9.13,clear sky
261,Rio Grande,2022-08-10 04:22:13,-32.035,-52.0986,47.95,75,100,15.1,overcast clouds
262,Remedios,2022-08-10 04:22:14,22.4947,-79.5458,79.72,88,68,12.08,broken clouds
263,Oranzherei,2022-08-10 04:22:14,45.8476,47.5663,81.68,36,1,9.19,clear sky
264,Vostok,2022-08-10 04:22:15,46.4856,135.8833,75.56,35,50,11.86,scattered clouds
265,Martaban,2022-08-10 04:22:15,16.5314,97.6111,80.08,83,100,7.94,overcast clouds
266,Wheatley,2022-08-10 04:22:15,51.7473,-1.1394,58.05,83,13,1.14,few clouds
267,Amahai,2022-08-10 04:22:16,-3.3333,128.9167,80.42,80,63,5.3,broken clouds
268,Guerrero Negro,2022-08-10 04:22:16,27.9769,-114.0611,74.32,74,56,11.9,broken clouds
269,Manali,2022-08-10 04:22:17,13.1667,80.2667,91.49,64,75,20.96,broken clouds
270,Lancaster,2022-08-10 04:23:17,40.2504,-76.2499,76.44,84,0,3.76,clear sky
271,Hofn,2022-08-10 04:23:17,64.2539,-15.2082,52.05,92,91,10.92,overcast clouds
272,Namibe,2022-08-10 04:23:18,-15.1961,12.1522,62.04,90,40,3.04,scattered clouds
273,Zhigansk,2022-08-10 04:23:18,66.7697,123.3711,66.76,52,6,10.92,clear sky
